Date,PlayerElo,TimeControlLevel,TotalGames,TotalBlunders,AverageBlunders
April 2023,Beginner,Blitz,1720755,7404167,4.3028595006261785
April 2023,Beginner,Bullet,747194,3078490,4.120067880630733
April 2023,Beginner,Classic,67944,285127,4.1965000588720125
April 2023,Beginner,Rapid,1104362,4877466,4.416546386058195
April 2023,Beginner,Ultra Bullet,37886,253090,6.680304070105052
April 2023,Expert,Blitz,797369,1965749,2.465293985595126
April 2023,Expert,Bullet,212093,629209,2.9666655665203474
April 2023,Expert,Classic,14962,22747,1.5203181392861917
April 2023,Expert,Rapid,263971,587200,2.2244867807448547
April 2023,Expert,Ultra Bullet,1840,9659,5.2494565217391305
April 2023,Intermediate,Blitz,2097337,6771505,3.2286203886166125
April 2023,Intermediate,Bullet,803383,2830418,3.523124089008605
April 2023,Intermediate,Classic,172106,479861,2.7881712433035455
April 2023,Intermediate,Rapid,1437455,4514415,3.1405609219071207
April 2023,Intermediate,Ultra Bullet,28196,192875,6.84050929209817
February 2023,Beginner,Blitz,1812517,8213013,4.531275017006737
February 2023,Beginner,Bullet,757309,3278945,4.329731985226638
February 2023,Beginner,Classic,78876,357295,4.529831634464222
February 2023,Beginner,Rapid,1185791,5523270,4.657878158967305
February 2023,Beginner,Ultra Bullet,37143,252363,6.794362329375656
February 2023,Expert,Blitz,752371,1941443,2.580433057627155
February 2023,Expert,Bullet,185648,572395,3.0832273980867018
February 2023,Expert,Classic,14370,22955,1.5974251913709117
February 2023,Expert,Rapid,247327,578959,2.3408645234851027
February 2023,Expert,Ultra Bullet,1884,11321,6.009023354564756
February 2023,Intermediate,Blitz,2022699,6839822,3.381532299170564
February 2023,Intermediate,Bullet,737525,2699893,3.660747771261991
February 2023,Intermediate,Classic,169448,503418,2.9709291346017657
February 2023,Intermediate,Rapid,1396509,4600480,3.2942716445078406
February 2023,Intermediate,Ultra Bullet,27995,193682,6.9184497231648505
January 2023,Beginner,Blitz,1795100,8145565,4.537666425268787
January 2023,Beginner,Bullet,741219,3175081,4.283593647761323
January 2023,Beginner,Classic,80507,364959,4.533257977567168
January 2023,Beginner,Rapid,1127404,5285679,4.688362822909977
January 2023,Beginner,Ultra Bullet,35787,243605,6.807080783524744
January 2023,Expert,Blitz,816468,2134972,2.61488753998932
January 2023,Expert,Bullet,199172,625681,3.141410439218364
January 2023,Expert,Classic,14805,23409,1.5811550151975684
January 2023,Expert,Rapid,260435,619474,2.378612705665521
January 2023,Expert,Ultra Bullet,1552,9452,6.09020618556701
January 2023,Intermediate,Blitz,2131081,7272079,3.412389768385153
January 2023,Intermediate,Bullet,782988,2901730,3.705969951008189
January 2023,Intermediate,Classic,174264,515975,2.960881191755038
January 2023,Intermediate,Rapid,1437798,4771130,3.3183590462638004
January 2023,Intermediate,Ultra Bullet,27204,195188,7.174974268489928
June 2023,Beginner,Blitz,1504368,6264291,4.164068233304617
June 2023,Beginner,Bullet,641303,2549933,3.9761750685713304
June 2023,Beginner,Classic,54599,222946,4.083334859612814
June 2023,Beginner,Rapid,927429,3989795,4.301995085338069
June 2023,Beginner,Ultra Bullet,31675,206511,6.519684293606946
June 2023,Expert,Blitz,827315,2018020,2.4392401926714733
June 2023,Expert,Bullet,217000,650880,2.999447004608295
June 2023,Expert,Classic,15103,22129,1.4652055882937165
June 2023,Expert,Rapid,264802,570598,2.1548100089878477
June 2023,Expert,Ultra Bullet,1646,10498,6.377885783718105
June 2023,Intermediate,Blitz,2043269,6449526,3.1564742576723868
June 2023,Intermediate,Bullet,767114,2689131,3.505516781078171
June 2023,Intermediate,Classic,153951,414010,2.6892322881955946
June 2023,Intermediate,Rapid,1327460,4063136,3.0608349780784354
June 2023,Intermediate,Ultra Bullet,27503,190565,6.928880485765189
March 2023,Beginner,Blitz,1894653,8455902,4.463034655950192
March 2023,Beginner,Bullet,816065,3473190,4.256021272815278
March 2023,Beginner,Classic,76663,337332,4.4001930527112165
March 2023,Beginner,Rapid,1206429,5503531,4.561835798045306
March 2023,Beginner,Ultra Bullet,40372,271959,6.736327157435847
March 2023,Expert,Blitz,821695,2079602,2.5308685096051455
March 2023,Expert,Bullet,208036,628830,3.0226979945778614
March 2023,Expert,Classic,15475,24360,1.574151857835218
March 2023,Expert,Rapid,263451,602889,2.288429347392874
March 2023,Expert,Ultra Bullet,1856,10769,5.802262931034483
March 2023,Intermediate,Blitz,2137195,7062821,3.3047152927084333
March 2023,Intermediate,Bullet,816170,2933993,3.594830733793205
March 2023,Intermediate,Classic,179044,521417,2.9122282790822367
March 2023,Intermediate,Rapid,1457649,4710619,3.231655220152451
March 2023,Intermediate,Ultra Bullet,28321,196525,6.939197062250627
May 2023,Beginner,Blitz,1768265,7488633,4.235017375789262
May 2023,Beginner,Bullet,746657,3021103,4.046172472768621
May 2023,Beginner,Classic,66412,275420,4.147142082756129
May 2023,Beginner,Rapid,1099837,4789363,4.354611637906344
May 2023,Beginner,Ultra Bullet,34683,229231,6.609318686388144
May 2023,Expert,Blitz,862921,2127109,2.4650101225952317
May 2023,Expert,Bullet,227214,674559,2.9688267448308645
May 2023,Expert,Classic,16161,24291,1.5030629292741786
May 2023,Expert,Rapid,281093,616129,2.1919044586667047
May 2023,Expert,Ultra Bullet,1920,11889,6.1921875
May 2023,Intermediate,Blitz,2241211,7161805,3.195506804134015
May 2023,Intermediate,Bullet,840794,2959946,3.5204176052635963
May 2023,Intermediate,Classic,173680,477660,2.750230308613542
May 2023,Intermediate,Rapid,1494751,4638969,3.1035062027053337
May 2023,Intermediate,Ultra Bullet,30180,206910,6.855864811133201
